transaction_id,timestamp,amount,merchant_risk,transactions_last_hour,distance_from_home_km,card_present,foreign_transaction,fraud
T0000000,2026-01-01 00:00:00,22.23,0.2148,2,119.47,1,0,0
T0000001,2026-01-01 00:05:00,29.93,0.1323,2,20.95,0,1,0
T0000002,2026-01-01 00:10:00,16.88,0.2148,2,64.96,0,1,0
T0000003,2026-01-01 00:15:00,9.11,0.1483,2,64.58,1,0,0
T0000004,2026-01-01 00:20:00,14.09,0.1942,4,49.05,0,0,0
T0000005,2026-01-01 00:25:00,8.23,0.1678,2,38.9,1,0,0
T0000006,2026-01-01 00:30:00,23.57,0.049,2,8.92,1,0,0
T0000007,2026-01-01 00:35:00,84.79,0.4867,1,15.36,1,0,0
T0000008,2026-01-01 00:40:00,13.57,0.2474,1,32.53,0,1,0
T0000009,2026-01-01 00:45:00,11.94,0.2923,1,36.82,1,0,0
T0000010,2026-01-01 00:50:00,36.23,0.3489,3,3.35,1,0,0
T0000011,2026-01-01 00:55:00,31.72,0.0875,4,6.44,1,0,0
T0000012,2026-01-01 01:00:00,24.67,0.0764,1,22.95,1,0,0
T0000013,2026-01-01 01:05:00,8.75,0.0816,4,33.13,1,0,0
T0000014,2026-01-01 01:10:00,21.56,0.0788,1,18.24,1,0,0
T0000015,2026-01-01 01:15:00,44.49,0.2928,3,32.82,0,0,0
T0000016,2026-01-01 01:20:00,5.79,0.6223,1,41.82,1,0,0
T0000017,2026-01-01 01:25:00,14.05,0.1459,2,44.59,0,0,0
T0000018,2026-01-01 01:30:00,3.32,0.218,2,190.52,1,0,0
T0000019,2026-01-01 01:35:00,6.11,0.1612,1,47.32,1,0,0
T0000020,2026-01-01 01:40:00,3.52,0.0792,0,18.24,0,0,1
T0000021,2026-01-01 01:45:00,17.55,0.1024,0,36.69,1,1,0
T0000022,2026-01-01 01:50:00,6.25,0.0227,0,8.7,1,0,0
T0000023,2026-01-01 01:55:00,29.12,0.1953,1,63.61,1,0,0
T0000024,2026-01-01 02:00:00,25.97,0.1931,3,55.25,1,0,0
T0000025,2026-01-01 02:05:00,18.41,0.0658,4,3.11,1,0,0
T0000026,2026-01-01 02:10:00,1.79,0.0815,1,17.55,1,0,0
T0000027,2026-01-01 02:15:00,12.95,0.1959,1,17.41,1,0,0
T0000028,2026-01-01 02:20:00,21.15,0.3362,5,23.76,1,0,0
T0000029,2026-01-01 02:25:00,24.86,0.0709,3,14.23,1,0,0
T0000030,2026-01-01 02:30:00,4.81,0.024,2,12.06,0,0,0
T0000031,2026-01-01 02:35:00,13.77,0.1801,1,81.36,0,0,0
T0000032,2026-01-01 02:40:00,8.34,0.4344,1,24.72,0,0,0
T0000033,2026-01-01 02:45:00,9.89,0.1348,0,45.52,0,0,0
T0000034,2026-01-01 02:50:00,64.13,0.0783,2,120.63,1,0,0
T0000035,2026-01-01 02:55:00,9.9,0.1149,3,18.01,1,0,0
T0000036,2026-01-01 03:00:00,21.49,0.1407,2,76.3,1,0,0
T0000037,2026-01-01 03:05:00,53.75,0.1703,2,142.96,1,0,0
T0000038,2026-01-01 03:10:00,12.38,0.1845,3,30.08,1,0,0
T0000039,2026-01-01 03:15:00,19.85,0.1438,4,0.12,1,0,0
T0000040,2026-01-01 03:20:00,24.79,0.1174,3,6.51,1,0,0
T0000041,2026-01-01 03:25:00,23.66,0.068,0,87.33,0,0,0
T0000042,2026-01-01 03:30:00,6.52,0.2225,2,51.7,1,0,0
T0000043,2026-01-01 03:35:00,23.95,0.0189,1,5.82,0,0,0
T0000044,2026-01-01 03:40:00,86.39,0.0209,3,36.77,1,0,0
T0000045,2026-01-01 03:45:00,4.72,0.0867,0,19.98,0,0,0
T0000046,2026-01-01 03:50:00,52.42,0.0183,4,20.68,1,0,0
T0000047,2026-01-01 03:55:00,25.01,0.2155,2,47.9,1,0,0
T0000048,2026-01-01 04:00:00,11.69,0.0491,2,50.48,0,0,0
T0000049,2026-01-01 04:05:00,164.09,0.299,3,85.69,0,0,0
T0000050,2026-01-01 04:10:00,47.57,0.0966,1,93.02,0,0,0
T0000051,2026-01-01 04:15:00,6.69,0.1502,1,48.57,1,0,0
T0000052,2026-01-01 04:20:00,23.92,0.1492,1,14.31,1,0,0
T0000053,2026-01-01 04:25:00,39.52,0.0466,5,41.66,1,0,0
T0000054,2026-01-01 04:30:00,18.38,0.0406,4,35.93,1,0,0
T0000055,2026-01-01 04:35:00,43.94,0.1091,2,9.43,1,1,0
T0000056,2026-01-01 04:40:00,20.77,0.5047,3,82.61,1,0,0
T0000057,2026-01-01 04:45:00,43.26,0.2401,1,4.1,1,0,0
T0000058,2026-01-01 04:50:00,93.55,0.011,2,26.62,1,1,0
T0000059,2026-01-01 04:55:00,11.29,0.2613,1,26.01,1,0,0
T0000060,2026-01-01 05:00:00,27.2,0.0052,1,40.51,1,0,0
T0000061,2026-01-01 05:05:00,13.97,0.0046,1,5.21,1,0,0
T0000062,2026-01-01 05:10:00,25.21,0.2888,2,45.19,1,0,0
T0000063,2026-01-01 05:15:00,6.77,0.1368,3,68.65,0,0,0
T0000064,2026-01-01 05:20:00,12.44,0.0803,2,3.24,1,0,0
T0000065,2026-01-01 05:25:00,18.24,0.1285,1,31.14,1,0,0
T0000066,2026-01-01 05:30:00,54.53,0.056,0,64.25,1,0,0
T0000067,2026-01-01 05:35:00,69.77,0.0202,0,75.77,1,0,0
T0000068,2026-01-01 05:40:00,5.91,0.0848,3,17.46,1,0,0
T0000069,2026-01-01 05:45:00,10.03,0.0508,2,11.25,0,0,0
T0000070,2026-01-01 05:50:00,42.39,0.3508,2,15.45,1,0,0
T0000071,2026-01-01 05:55:00,3.03,0.0798,2,11.2,0,0,0
T0000072,2026-01-01 06:00:00,13.97,0.3241,2,11.26,0,0,0
T0000073,2026-01-01 06:05:00,20.14,0.1239,2,1.7,1,0,0
T0000074,2026-01-01 06:10:00,78.02,0.32,1,104.4,0,0,0
T0000075,2026-01-01 06:15:00,44.23,0.1382,0,106.68,1,0,0
T0000076,2026-01-01 06:20:00,16.0,0.1845,2,56.96,1,0,0
T0000077,2026-01-01 06:25:00,15.35,0.3233,2,94.85,0,0,0
T0000078,2026-01-01 06:30:00,17.28,0.0286,1,24.45,1,0,0
T0000079,2026-01-01 06:35:00,101.85,0.1674,3,51.61,1,0,0
T0000080,2026-01-01 06:40:00,14.47,0.1567,1,17.65,1,0,0
T0000081,2026-01-01 06:45:00,16.38,0.048,0,9.56,1,0,0
T0000082,2026-01-01 06:50:00,31.58,0.269,0,10.57,1,0,0
T0000083,2026-01-01 06:55:00,19.67,0.0264,2,6.02,0,0,0
T0000084,2026-01-01 07:00:00,18.22,0.1024,3,76.69,1,1,0
T0000085,2026-01-01 07:05:00,7.29,0.301,2,8.1,1,0,0
