customer_id,age,income,prior_purchases,email_engagement,tenure_months,channel,discount_pct,treatment,response
C000000,43,73133.63,4,0.1328,4,email,5,1,0
C000001,67,45015.17,5,0.241,49,sms,10,0,0
C000002,72,27965.91,2,0.4807,113,email,10,0,0
C000003,36,41493.73,4,0.0502,66,email,10,0,0
C000004,27,93880.53,4,0.2979,2,direct_mail,15,0,0
C000005,53,45600.29,5,0.3175,61,direct_mail,15,0,0
C000006,57,86816.59,4,0.1477,48,sms,5,0,0
C000007,62,58470.74,4,0.2244,81,email,10,0,0
C000008,55,78001.64,4,0.5145,32,sms,10,1,0
C000009,59,39583.57,10,0.0997,63,email,15,0,0
C000010,70,71710.3,6,0.3736,83,paid_social,20,1,0
C000011,70,48793.46,2,0.4881,42,email,5,0,0
C000012,71,87710.36,5,0.2691,57,email,20,0,0
C000013,67,35754.78,2,0.1009,110,email,0,0,0
C000014,59,87942.71,4,0.6925,88,email,0,1,0
C000015,70,70580.24,5,0.3218,25,email,15,0,0
C000016,21,26764.98,2,0.1278,117,email,10,0,0
C000017,22,93624.21,2,0.2765,1,sms,5,0,0
C000018,64,51716.65,5,0.1389,3,email,15,0,0
C000019,44,70242.39,6,0.7404,87,email,10,1,0
C000020,61,36222.45,6,0.3105,63,direct_mail,5,1,0
C000021,47,41652.0,5,0.3007,113,sms,15,1,0
C000022,69,149740.28,5,0.2754,28,direct_mail,20,0,0
C000023,24,50139.46,3,0.4946,77,direct_mail,0,1,0
C000024,57,77033.59,2,0.1923,86,email,5,0,0
C000025,21,142095.78,5,0.4975,23,email,0,1,0
C000026,28,46073.74,5,0.2686,77,sms,15,0,0
C000027,65,35839.49,0,0.4626,19,email,20,0,0
C000028,36,112578.62,5,0.1194,4,sms,10,0,0
C000029,74,52126.94,6,0.4168,111,email,10,0,0
C000030,39,101506.21,5,0.365,81,email,10,1,0
C000031,63,31922.33,3,0.0509,45,paid_social,10,1,0
C000032,72,36914.87,5,0.0504,52,email,15,1,0
C000033,38,105176.03,3,0.2951,10,email,0,0,0
C000034,73,52241.11,0,0.59,85,sms,0,0,0
C000035,59,154423.69,4,0.5451,13,email,15,1,0
C000036,73,45240.24,7,0.0224,106,email,10,0,0
C000037,37,69898.29,5,0.0964,59,email,5,1,0
C000038,48,38958.61,7,0.0433,93,sms,0,1,0
C000039,61,49407.76,6,0.2634,64,email,10,0,0
C000040,73,54217.03,5,0.2308,97,email,0,0,0
C000041,36,54101.33,8,0.1914,89,email,0,0,0
C000042,46,37245.78,7,0.4526,104,email,10,1,0
C000043,63,93486.8,5,0.293,50,email,20,1,0
C000044,66,77391.21,8,0.0501,78,email,0,0,0
C000045,74,75020.1,5,0.3468,47,sms,10,1,0
C000046,32,93965.2,4,0.53,108,email,0,1,0
C000047,74,87657.26,3,0.398,96,sms,5,0,0
C000048,27,119957.33,5,0.3228,72,direct_mail,5,1,0
