month,revenue,cogs,opex,marketing_expense,rnd_expense,ebit,net_income,cash,accounts_receivable,inventory,accounts_payable,gross_margin_pct,net_margin_pct
2024-01-01,873605.66,477198.08,175954.7,59279.48,49146.47,220452.88,181774.04,437956.63,127462.14,106795.15,69032.48,0.4538,0.2081
2024-02-01,1181460.61,650481.1,224074.17,69578.99,47435.26,306905.34,240174.26,418469.74,225502.64,77336.41,106030.55,0.4494,0.2033
2024-03-01,563535.72,363944.06,180000.26,30485.91,29638.29,19591.4,17083.13,121157.52,79732.11,85695.95,30908.81,0.3542,0.0303
2024-04-01,896247.35,619034.64,197562.85,63973.19,62600.52,79649.86,59766.3,368445.76,111164.26,142151.77,102291.69,0.3093,0.0667
2024-05-01,1463817.66,705068.22,294077.34,89345.97,87128.34,464672.1,416441.88,880816.13,205100.84,119641.2,95071.46,0.5183,0.2845
2024-06-01,1038980.87,576798.08,222071.23,64604.59,36204.19,240111.56,197549.77,798844.46,143236.9,122082.33,57524.88,0.4448,0.1901
2024-07-01,787879.5,449276.78,245075.89,81351.04,45225.13,93526.83,80312.19,363502.45,121156.01,86673.02,50195.68,0.4298,0.1019
2024-08-01,620270.96,337475.75,156818.41,31701.22,40402.54,125976.8,90340.47,570236.32,100387.72,74400.36,36512.5,0.4559,0.1456
2024-09-01,1203528.34,650864.85,278104.75,107170.24,83807.9,274558.74,202265.11,777837.4,205627.5,107243.5,86620.94,0.4592,0.1681
2024-10-01,1144856.04,530145.24,346061.14,87652.81,70358.13,268649.66,228803.74,453019.47,191964.18,115503.42,45151.71,0.5369,0.1999
2024-11-01,873938.71,543052.1,205636.59,74685.49,32888.86,125250.02,88225.78,114366.29,128527.95,91975.93,52053.51,0.3786,0.101
2024-12-01,1450941.35,811153.99,329220.33,129711.42,95049.23,310567.03,268135.99,159608.37,178345.45,195605.62,130814.24,0.4409,0.1848
2025-01-01,522202.81,260421.73,109150.6,37565.04,33351.58,152630.48,107267.15,508314.18,94262.91,45041.45,24287.03,0.5013,0.2054
2025-02-01,803723.85,525642.13,187180.5,56789.21,25093.34,90901.22,75577.43,875551.5,128253.82,89040.04,54319.66,0.346,0.094
2025-03-01,1421069.49,924604.92,318796.77,144008.52,71888.19,177667.8,137340.55,654567.63,212971.73,201342.69,115887.26,0.3494,0.0966
2025-04-01,820935.44,469244.98,225611.57,91115.12,38294.6,126078.89,103674.54,156732.95,169682.52,104752.68,61805.24,0.4284,0.1263
2025-05-01,752252.83,394641.36,165903.03,47753.55,47745.94,191708.44,160882.93,251488.7,146444.32,72287.79,61706.54,0.4754,0.2139
2025-06-01,1034220.41,630381.31,269732.92,58778.17,42203.22,134106.18,103059.93,717058.51,212818.31,80039.31,78629.5,0.3905,0.0996
2025-07-01,1323801.75,691074.86,250496.26,149385.34,78823.92,382230.63,275814.75,773151.81,224382.12,117595.88,109871.55,0.478,0.2084
2025-08-01,603146.76,307002.9,124718.98,44930.02,45634.26,171424.88,122385.22,594155.67,80274.69,75280.45,43543.64,0.491,0.2029
2025-09-01,1443020.71,912896.26,342048.92,127840.4,100852.89,188075.53,153805.76,615538.54,273628.68,194399.37,83356.53,0.3674,0.1066
2025-10-01,1295072.88,595838.83,402991.58,97348.06,98519.93,296242.47,238217.77,122669.96,182096.8,132082.21,56981.94,0.5399,0.1839
2025-11-01,681250.26,322702.88,158605.47,40061.71,53767.88,199941.91,169638.75,762824.21,111808.81,33859.22,39919.43,0.5263,0.249
2025-12-01,1212007.96,547460.41,330842.27,110599.62,37006.85,333705.28,267613.98,730620.17,153319.1,93166.22,65524.96,0.5483,0.2208
