order_id,order_date,region,segment,category,product,unit_price,quantity,discount,revenue,cost,profit,customer_id,date_key
10000,2025-10-16,North,Consumer,Hardware,Desktop Tower,679.8,8,0.0,5438.4,2744.25,2694.15,C1466,20251016
10001,2024-09-07,South,Consumer,Hardware,"Laptop 13""",188.06,8,0.0,1504.48,752.25,752.23,C9322,20240907
10002,2025-11-23,North,Enterprise,Software,Antivirus Pro,45.87,2,0.05,87.15,67.85,19.3,C3433,20251123
10003,2024-01-31,North,Consumer,Accessories,Mouse,334.65,5,0.05,1589.59,1055.61,533.98,C7396,20240131
10004,2025-07-28,South,Enterprise,Hardware,"Monitor 27""",782.61,1,0.0,782.61,461.7,320.91,C3047,20250728
10005,2024-08-13,West,Enterprise,Software,Antivirus Pro,532.23,3,0.0,1596.69,1267.98,328.71,C2528,20240813
10006,2024-06-12,West,Small Business,Software,Antivirus Pro,92.19,3,0.05,262.74,159.66,103.08,C6393,20240612
10007,2024-08-08,East,Consumer,Accessories,USB-C Cable,1708.45,2,0.0,3416.9,1556.7,1860.2,C8041,20240808
10008,2024-04-09,East,Small Business,Hardware,Desktop Tower,1234.46,7,0.05,8209.16,6088.06,2121.1,C9226,20240409
10009,2024-02-14,West,Enterprise,Accessories,USB-C Cable,1637.59,4,0.0,6550.36,4679.42,1870.94,C2021,20240214
10010,2024-03-21,East,Enterprise,Hardware,Desktop Tower,940.44,4,0.0,3761.76,2969.36,792.4,C7873,20240321
10011,2025-08-14,South,Enterprise,Accessories,Mouse,814.51,4,0.0,3258.04,2517.34,740.7,C8629,20250814
10012,2025-11-08,South,Small Business,Accessories,Keyboard,360.01,9,0.15,2754.08,2053.41,700.67,C8916,20251108
10013,2024-04-13,West,Small Business,Software,Analytics Pro,494.99,5,0.0,2474.95,1949.86,525.09,C7331,20240413
10014,2025-01-08,South,Small Business,Software,Antivirus Pro,980.97,9,0.0,8828.73,4483.61,4345.12,C9006,20250108
10015,2025-11-17,East,Enterprise,Hardware,"Laptop 13""",767.31,1,0.0,767.31,346.77,420.54,C6258,20251117
10016,2025-09-15,South,Enterprise,Hardware,"Laptop 15""",365.13,8,0.05,2774.99,1997.84,777.15,C6892,20250915
